Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
45,11,11,"Romance for Violin and Orchestra no. 2 in F major, op. 50: Adagio cantabile",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1952,1
45,12,12,"Clarinet Concertino in E-flat major, J. 109, op. 26",Carl Maria von Weber,Eugene Ormandy,The Philadelphia Orchestra,1952,1
46,1,3,"Concerto for Piano and Orchestra no. 1 in E minor, op. 11",Fryderyk Chopin,Eugene Ormandy,The Philadelphia Orchestra,1952,3
47,1,3,"Lemminkäis-sarja (Neljä legendaa), op. 22",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1950-51,3
47,4,4,"Lemminkäinen Suite, op. 22: No. 4: Return of Lemminkäinen. Allegro con fuoco",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1951,1
48,1,4,"Symphony no. 45 in F-sharp minor, Hob. I:45 ""Abschiedssymphonie""",Joseph Haydn,Eugene Ormandy,The Philadelphia Orchestra,1952,4
48,5,9,"Symphony no. 7 in C major, Hob. I:7 “Le Midi”",Joseph Haydn,Eugene Ormandy,The Philadelphia Orchestra,1950,5
49,1,12,Jeanne d'Arc au bûcher,Arthur Honegger,Eugene Ormandy,The Philadelphia Orchestra,1952,12
50,1,4,"Concerto for Piano and Orchestra no. 1 in E‐flat major, S. 124",Franz Liszt,Eugene Ormandy,The Philadelphia Orchestra,1952,4
50,5,5,"Fantasia on Hungarian Folk Melodies for Piano and Orchestra, S 123: Andante mesto - Adagio - Allegro molto (Cadenza) -",Franz Liszt,Eugene Ormandy,The Philadelphia Orchestra,1952,1
50,6,6,"Fantasia on Hungarian Folk Melodies for Piano and Orchestra, S 123: Allegro eroico -",Franz Liszt,Eugene Ormandy,The Philadelphia Orchestra,1952,1
50,7,7,"Fantasia on Hungarian Folk Melodies for Piano and Orchestra, S 123: Molto Adagio, quasi Fantasia - Moderato. Fest - Allegretto alla Zingarese - Molto animato - Cadenza -",Franz Liszt,Eugene Ormandy,The Philadelphia Orchestra,1952,1
